"id","han_ji","chu_im","freq","siann","un","tiau","old_chu_im","sni_siann","sni_un"
2744,"馮","pong5",,"p","ong",5,"pong5","邊","公"
2745,"滂","pong5",,"p","ong",5,"pong5","邊","公"
2746,"狂","kong5",,"k","ong",5,"kong5","求","公"
2747,"㾠","kong5",,"k","ong",5,"kong5","求","公"
2748,"俇","kong5",,"k","ong",5,"kong5","求","公"
2749,"仝","tong5",,"t","ong",5,"tong5","地","公"
2750,"同","tong5",,"t","ong",5,"tong5","地","公"
2751,"侗","tong5",,"t","ong",5,"tong5","地","公"
2752,"傏","tong5",,"t","ong",5,"tong5","地","公"
2753,"㑽","tong5",,"t","ong",5,"tong5","地","公"
2754,"唐","tong5",,"t","ong",5,"tong5","地","公"
2755,"堂","tong5",,"t","ong",5,"tong5","地","公"
2756,"坣","tong5",,"t","ong",5,"tong5","地","公"
2757,"瞳","tong5",,"t","ong",5,"tong5","地","公"
2758,"潼","tong5",,"t","ong",5,"tong5","地","公"
2759,"犝","tong5",,"t","ong",5,"tong5","地","公"
2760,"𦏆","tong5",,"t","ong",5,"tong5","地","公"
2761,"艟","tong5",,"t","ong",5,"tong5","地","公"
2762,"曈","tong5",,"t","ong",5,"tong5","地","公"
2763,"朣","tong5",,"t","ong",5,"tong5","地","公"
2764,"峒","tong5",,"t","ong",5,"tong5","地","公"
2765,"桐","tong5",,"t","ong",5,"tong5","地","公"
2766,"𦨴","tong5",,"t","ong",5,"tong5","地","公"
2767,"童","tong5",,"t","ong",5,"tong5","地","公"
2768,"僮","tong5",,"t","ong",5,"tong5","地","公"
2769,"𢈉","tong5",,"t","ong",5,"tong5","地","公"
2770,"疼","tong5",,"t","ong",5,"tong5","地","公"
2771,"𦙭","tong5",,"t","ong",5,"tong5","地","公"
2772,"筒","tong5",,"t","ong",5,"tong5","地","公"
2773,"衕","tong5",,"t","ong",5,"tong5","地","公"
2774,"銅","tong5",,"t","ong",5,"tong5","地","公"
2775,"穜","tong5",,"t","ong",5,"tong5","地","公"
2776,"鮦","tong5",,"t","ong",5,"tong5","地","公"
2777,"㼧","tong5",,"t","ong",5,"tong5","地","公"
2778,"𤭁","tong5",,"t","ong",5,"tong5","地","公"
2779,"筩","tong5",,"t","ong",5,"tong5","地","公"
2780,"庝","tong5",,"t","ong",5,"tong5","地","公"
2781,"彤","tong5",,"t","ong",5,"tong5","地","公"
2782,"罿","tong5",,"t","ong",5,"tong5","地","公"
2783,"塘","tong5",,"t","ong",5,"tong5","地","公"
2784,"螗","tong5",,"t","ong",5,"tong5","地","公"
2785,"棠","tong5",,"t","ong",5,"tong5","地","公"
2786,"螳","tong5",,"t","ong",5,"tong5","地","公"
2787,"鼕","tong5",,"t","ong",5,"tong5","地","公"
2788,"㠉","tong5",,"t","ong",5,"tong5","地","公"
2789,"磄","tong5",,"t","ong",5,"tong5","地","公"
2790,"篷","phong5",,"ph","ong",5,"phong5","頗","公"
2791,"糖","thong5",,"th","ong",5,"thong5","他","公"
2792,"餹","thong5",,"th","ong",5,"thong5","他","公"
2793,"崇","chong5",,"ch","ong",5,"tsong5","曾","公"
2794,"賩","chong5",,"ch","ong",5,"tsong5","曾","公"
2795,"賨","chong5",,"ch","ong",5,"tsong5","曾","公"
2796,"藏","chong5",,"ch","ong",5,"tsong5","曾","公"
2797,"叢","chong5",,"ch","ong",5,"tsong5","曾","公"
2798,"䕺","chong5",,"ch","ong",5,"tsong5","曾","公"
2799,"藂","chong5",,"ch","ong",5,"tsong5","曾","公"
2800,"𡾻","chong5",,"ch","ong",5,"tsong5","曾","公"
2801,"㶓","chong5",,"ch","ong",5,"tsong5","曾","公"
2802,"𤄓","chong5",,"ch","ong",5,"tsong5","曾","公"
2803,"崈","chong5",,"ch","ong",5,"tsong5","曾","公"
2804,"傖","song5",,"s","ong",5,"song5","時","公"
2805,"仼","qong5",,"q","ong",5,"ong5","英","公"
2806,"王","qong5",,"q","ong",5,"ong5","英","公"
2807,"亡","bong5",,"b","ong",5,"bong5","門","公"
2808,"亾","bong5",,"b","ong",5,"bong5","門","公"
2809,"忘","bong5",,"b","ong",5,"bong5","門","公"
2810,"芒","bong5",,"b","ong",5,"bong5","門","公"
2811,"茫","bong5",,"b","ong",5,"bong5","門","公"
2812,"邙","bong5",,"b","ong",5,"bong5","門","公"
2813,"𡷢","bong5",,"b","ong",5,"bong5","門","公"
2814,"鋩","bong5",,"b","ong",5,"bong5","門","公"
2815,"忙","bong5",,"b","ong",5,"bong5","門","公"
2816,"肓","bong5",,"b","ong",5,"bong5","門","公"
2817,"㡛","bong5",,"b","ong",5,"bong5","門","公"
2818,"蒙","bong5",,"b","ong",5,"bong5","門","公"
2819,"㠓","bong5",,"b","ong",5,"bong5","門","公"
2820,"望","bong5",,"b","ong",5,"bong5","門","公"
2821,"幪","bong5",,"b","ong",5,"bong5","門","公"
2822,"濛","bong5",,"b","ong",5,"bong5","門","公"
2823,"曚","bong5",,"b","ong",5,"bong5","門","公"
2824,"朦","bong5",,"b","ong",5,"bong5","門","公"
2825,"矇","bong5",,"b","ong",5,"bong5","門","公"
2826,"蠓","bong5",,"b","ong",5,"bong5","門","公"
2827,"艨","bong5",,"b","ong",5,"bong5","門","公"
2828,"罞","bong5",,"b","ong",5,"bong5","門","公"
2829,"𦊽","bong5",,"b","ong",5,"bong5","門","公"
2830,"雺","bong5",,"b","ong",5,"bong5","門","公"
2831,"硭","bong5",,"b","ong",5,"bong5","門","公"
2832,"𢄐","bong5",,"b","ong",5,"bong5","門","公"
2833,"卬","gong5",,"g","ong",5,"gong5","語","公"
2834,"昂","gong5",,"g","ong",5,"gong5","語","公"
2835,"䭹","gong5",,"g","ong",5,"gong5","語","公"
2836,"䒢","gong5",,"g","ong",5,"gong5","語","公"
2837,"牀","chhong5",,"chh","ong",5,"tshong5","出","公"
2838,"床","chhong5",,"chh","ong",5,"tshong5","出","公"
2839,"𩞆","chhong5",,"chh","ong",5,"tshong5","出","公"
2840,"皇","hong5",,"h","ong",5,"hong5","喜","公"
2841,"仜","hong5",,"h","ong",5,"hong5","喜","公"
2842,"偟","hong5",,"h","ong",5,"hong5","喜","公"
2843,"𦤃","hong5",,"h","ong",5,"hong5","喜","公"
2844,"凰","hong5",,"h","ong",5,"hong5","喜","公"
2845,"徨","hong5",,"h","ong",5,"hong5","喜","公"
2846,"媓","hong5",,"h","ong",5,"hong5","喜","公"
2847,"喤","hong5",,"h","ong",5,"hong5","喜","公"
2848,"湟","hong5",,"h","ong",5,"hong5","喜","公"
2849,"瑝","hong5",,"h","ong",5,"hong5","喜","公"
2850,"蝗","hong5",,"h","ong",5,"hong5","喜","公"
2851,"潢","hong5",,"h","ong",5,"hong5","喜","公"
2852,"惶","hong5",,"h","ong",5,"hong5","喜","公"
2853,"煌","hong5",,"h","ong",5,"hong5","喜","公"
2854,"篁","hong5",,"h","ong",5,"hong5","喜","公"
2855,"遑","hong5",,"h","ong",5,"hong5","喜","公"
2856,"崲","hong5",,"h","ong",5,"hong5","喜","公"
2857,"艎","hong5",,"h","ong",5,"hong5","喜","公"
2858,"隍","hong5",,"h","ong",5,"hong5","喜","公"
2859,"鍠","hong5",,"h","ong",5,"hong5","喜","公"
2860,"黃","hong5",,"h","ong",5,"hong5","喜","公"
2861,"簧","hong5",,"h","ong",5,"hong5","喜","公"
2862,"鐄","hong5",,"h","ong",5,"hong5","喜","公"
2863,"航","hong5",,"h","ong",5,"hong5","喜","公"
2864,"䲳","hong5",,"h","ong",5,"hong5","喜","公"
2865,"鴻","hong5",,"h","ong",5,"hong5","喜","公"
2866,"黌","hong5",,"h","ong",5,"hong5","喜","公"
2867,"癀","hong5",,"h","ong",5,"hong5","喜","公"
2868,"妨","hong5",,"h","ong",5,"hong5","喜","公"
2869,"魴","hong5",,"h","ong",5,"hong5","喜","公"
2870,"防","hong5",,"h","ong",5,"hong5","喜","公"
2871,"縫","hong5",,"h","ong",5,"hong5","喜","公"
2872,"逢","hong5",,"h","ong",5,"hong5","喜","公"
2873,"浲","hong5",,"h","ong",5,"hong5","喜","公"
2874,"蓬","hong5",,"h","ong",5,"hong5","喜","公"
2875,"髼","hong5",,"h","ong",5,"hong5","喜","公"
2876,"弘","hong5",,"h","ong",5,"hong5","喜","公"
2877,"芃","hong5",,"h","ong",5,"hong5","喜","公"
2878,"宏","hong5",,"h","ong",5,"hong5","喜","公"
2879,"綋","hong5",,"h","ong",5,"hong5","喜","公"
2880,"泓","hong5",,"h","ong",5,"hong5","喜","公"
2881,"閎","hong5",,"h","ong",5,"hong5","喜","公"
2882,"葒","hong5",,"h","ong",5,"hong5","喜","公"
2883,"葓","hong5",,"h","ong",5,"hong5","喜","公"
2884,"洪","hong5",,"h","ong",5,"hong5","喜","公"
2885,"𢂔","hong5",,"h","ong",5,"hong5","喜","公"
2886,"紅","hong5",,"h","ong",5,"hong5","喜","公"
2887,"虹","hong5",,"h","ong",5,"hong5","喜","公"
2888,"璜","hong5",,"h","ong",5,"hong5","喜","公"
2889,"紘","hong5",,"h","ong",5,"hong5","喜","公"
2890,"弄","long7",,"l","ong",7,"long7","柳","公"
2891,"㑝","long7",,"l","ong",7,"long7","柳","公"
2892,"哢","long7",,"l","ong",7,"long7","柳","公"
2893,"𡷟","long7",,"l","ong",7,"long7","柳","公"
2894,"儾","long7",,"l","ong",7,"long7","柳","公"
2895,"𡿝","long7",,"l","ong",7,"long7","柳","公"
2896,"浪","long7",,"l","ong",7,"long7","柳","公"
2897,"㫰","long7",,"l","ong",7,"long7","柳","公"
2898,"閬","long7",,"l","ong",7,"long7","柳","公"
2899,"烺","long7",,"l","ong",7,"long7","柳","公"
2900,"傍","pong7",,"p","ong",7,"pong7","邊","公"
2901,"狂","kong7",,"k","ong",7,"kong7","求","公"
2902,"𥒳","khong7",,"kh","ong",7,"khong7","去","公"
2903,"洞","tong7",,"t","ong",7,"tong7","地","公"
2904,"慟","tong7",,"t","ong",7,"tong7","地","公"
2905,"動","tong7",,"t","ong",7,"tong7","地","公"
2906,"𢡂","tong7",,"t","ong",7,"tong7","地","公"
2907,"恫","tong7",,"t","ong",7,"tong7","地","公"
2908,"燙","tong7",,"t","ong",7,"tong7","地","公"
2909,"碭","tong7",,"t","ong",7,"tong7","地","公"
2910,"踢","tong7",,"t","ong",7,"tong7","地","公"
2911,"湯","tong7",,"t","ong",7,"tong7","地","公"
2912,"蕩","tong7",,"t","ong",7,"tong7","地","公"
2913,"盪","tong7",,"t","ong",7,"tong7","地","公"
2914,"撞","tong7",,"t","ong",7,"tong7","地","公"
2915,"宕","tong7",,"t","ong",7,"tong7","地","公"
2916,"崵","tong7",,"t","ong",7,"tong7","地","公"
2917,"𡼍","tong7",,"t","ong",7,"tong7","地","公"
2918,"狀","chong7",,"ch","ong",7,"tsong7","曾","公"
2919,"臟","chong7",,"ch","ong",7,"tsong7","曾","公"
2920,"奘","chong7",,"ch","ong",7,"tsong7","曾","公"
2921,"藏","chong7",,"ch","ong",7,"tsong7","曾","公"
2922,"王","qong7",,"q","ong",7,"ong7","英","公"
2923,"旺","qong7",,"q","ong",7,"ong7","英","公"
2924,"望","bong7",,"b","ong",7,"bong7","門","公"
2925,"𪤀","bong7",,"b","ong",7,"bong7","門","公"
2926,"妄","bong7",,"b","ong",7,"bong7","門","公"
2927,"夢","bong7",,"b","ong",7,"bong7","門","公"
2928,"夣","bong7",,"b","ong",7,"bong7","門","公"
2929,"梦","bong7",,"b","ong",7,"bong7","門","公"
2930,"懜","bong7",,"b","ong",7,"bong7","門","公"
2931,"𢓋","gong7",,"g","ong",7,"gong7","語","公"
2932,"𪨫","gong7",,"g","ong",7,"gong7","語","公"
2933,"𩾱","gong7",,"g","ong",7,"gong7","語","公"
2934,"戇","gong7",,"g","ong",7,"gong7","語","公"
2935,"戅","gong7",,"g","ong",7,"gong7","語","公"
2936,"奉","hong7",,"h","ong",7,"hong7","喜","公"
2937,"鳳","hong7",,"h","ong",7,"hong7","喜","公"
2938,"汞","hong7",,"h","ong",7,"hong7","喜","公"
2939,"𦕷","hong7",,"h","ong",7,"hong7","喜","公"
2940,"哄","hong7",,"h","ong",7,"hong7","喜","公"
2941,"俸","hong7",,"h","ong",7,"hong7","喜","公"
2942,"洛","lok8",,"l","ok",8,"lok8","柳","公"
2943,"烙","lok8",,"l","ok",8,"lok8","柳","公"
2944,"珞","lok8",,"l","ok",8,"lok8","柳","公"
2945,"馲","lok8",,"l","ok",8,"lok8","柳","公"
2946,"祿","lok8",,"l","ok",8,"lok8","柳","公"
2947,"絡","lok8",,"l","ok",8,"lok8","柳","公"
2948,"傉","lok8",,"l","ok",8,"lok8","柳","公"
2949,"駱","lok8",,"l","ok",8,"lok8","柳","公"
2950,"酪","lok8",,"l","ok",8,"lok8","柳","公"
2951,"𥯛","lok8",,"l","ok",8,"lok8","柳","公"
2952,"落","lok8",,"l","ok",8,"lok8","柳","公"
2953,"雒","lok8",,"l","ok",8,"lok8","柳","公"
2954,"鹿","lok8",,"l","ok",8,"lok8","柳","公"
2955,"漉","lok8",,"l","ok",8,"lok8","柳","公"
2956,"轆","lok8",,"l","ok",8,"lok8","柳","公"
2957,"麓","lok8",,"l","ok",8,"lok8","柳","公"
2958,"鏕","lok8",,"l","ok",8,"lok8","柳","公"
2959,"簏","lok8",,"l","ok",8,"lok8","柳","公"
2960,"剹","lok8",,"l","ok",8,"lok8","柳","公"
2961,"犖","lok8",,"l","ok",8,"lok8","柳","公"
2962,"樂","lok8",,"l","ok",8,"lok8","柳","公"
2963,"櫟","lok8",,"l","ok",8,"lok8","柳","公"
2964,"諾","lok8",,"l","ok",8,"lok8","柳","公"
2965,"碌","lok8",,"l","ok",8,"lok8","柳","公"
2966,"爏","lok8",,"l","ok",8,"lok8","柳","公"
2967,"僕","pok8",,"p","ok",8,"pok8","邊","公"
2968,"㒒","pok8",,"p","ok",8,"pok8","邊","公"
2969,"幞","pok8",,"p","ok",8,"pok8","邊","公"
2970,"襆","pok8",,"p","ok",8,"pok8","邊","公"
2971,"匐","pok8",,"p","ok",8,"pok8","邊","公"
2972,"伏","pok8",,"p","ok",8,"pok8","邊","公"
2973,"薄","pok8",,"p","ok",8,"pok8","邊","公"
2974,"簿","pok8",,"p","ok",8,"pok8","邊","公"
2975,"箔","pok8",,"p","ok",8,"pok8","邊","公"
2976,"縛","pok8",,"p","ok",8,"pok8","邊","公"
2977,"亳","pok8",,"p","ok",8,"pok8","邊","公"
2978,"僰","pok8",,"p","ok",8,"pok8","邊","公"
2979,"泊","pok8",,"p","ok",8,"pok8","邊","公"
2980,"𠉩","tok8",,"t","ok",8,"tok8","地","公"
2981,"毒","tok8",,"t","ok",8,"tok8","地","公"
2982,"纛","tok8",,"t","ok",8,"tok8","地","公"
2983,"碡","tok8",,"t","ok",8,"tok8","地","公"
2984,"獨","tok8",,"t","ok",8,"tok8","地","公"
2985,"髑","tok8",,"t","ok",8,"tok8","地","公"
2986,"鐲","tok8",,"t","ok",8,"tok8","地","公"
2987,"躅","tok8",,"t","ok",8,"tok8","地","公"
2988,"黷","tok8",,"t","ok",8,"tok8","地","公"
2989,"匵","tok8",,"t","ok",8,"tok8","地","公"
2990,"櫝","tok8",,"t","ok",8,"tok8","地","公"
2991,"牘","tok8",,"t","ok",8,"tok8","地","公"
2992,"瀆","tok8",,"t","ok",8,"tok8","地","公"
2993,"犢","tok8",,"t","ok",8,"tok8","地","公"
2994,"覿","tok8",,"t","ok",8,"tok8","地","公"
2995,"嬻","tok8",,"t","ok",8,"tok8","地","公"
2996,"讟","tok8",,"t","ok",8,"tok8","地","公"
2997,"鐸","tok8",,"t","ok",8,"tok8","地","公"
2998,"度","tok8",,"t","ok",8,"tok8","地","公"
2999,"𦉷","tok8",,"t","ok",8,"tok8","地","公"
3000,"暴","phok8",,"ph","ok",8,"phok8","頗","公"
3001,"曝","phok8",,"ph","ok",8,"phok8","頗","公"
3002,"爆","phok8",,"ph","ok",8,"phok8","頗","公"
3003,"瀑","phok8",,"ph","ok",8,"phok8","頗","公"
3004,"襮","phok8",,"ph","ok",8,"phok8","頗","公"
3005,"讀","thok8",,"th","ok",8,"thok8","他","公"
3006,"𦢌","thok8",,"th","ok",8,"thok8","他","公"
3007,"黷","thok8",,"th","ok",8,"thok8","他","公"
3008,"昨","chok8",,"ch","ok",8,"tsok8","曾","公"
3009,"怍","chok8",,"ch","ok",8,"tsok8","曾","公"
3010,"酢","chok8",,"ch","ok",8,"tsok8","曾","公"
3011,"柞","chok8",,"ch","ok",8,"tsok8","曾","公"
3012,"濯","chok8",,"ch","ok",8,"tsok8","曾","公"
3013,"濁","chok8",,"ch","ok",8,"tsok8","曾","公"
3014,"擢","chok8",,"ch","ok",8,"tsok8","曾","公"
3015,"族","chok8",,"ch","ok",8,"tsok8","曾","公"
3016,"瘯","chok8",,"ch","ok",8,"tsok8","曾","公"
3017,"鷟","chok8",,"ch","ok",8,"tsok8","曾","公"
3018,"木","bok8",,"b","ok",8,"bok8","門","公"
3019,"沐","bok8",,"b","ok",8,"bok8","門","公"
3020,"霂","bok8",,"b","ok",8,"bok8","門","公"
3021,"目","bok8",,"b","ok",8,"bok8","門","公"
3022,"苜","bok8",,"b","ok",8,"bok8","門","公"
3023,"睦","bok8",,"b","ok",8,"bok8","門","公"
3024,"穆","bok8",,"b","ok",8,"bok8","門","公"
3025,"繆","bok8",,"b","ok",8,"bok8","門","公"
3026,"牧","bok8",,"b","ok",8,"bok8","門","公"
3027,"莫","bok8",,"b","ok",8,"bok8","門","公"
3028,"寞","bok8",,"b","ok",8,"bok8","門","公"
3029,"瘼","bok8",,"b","ok",8,"bok8","門","公"
3030,"鏌","bok8",,"b","ok",8,"bok8","門","公"
3031,"漠","bok8",,"b","ok",8,"bok8","門","公"
3032,"暯","bok8",,"b","ok",8,"bok8","門","公"
3033,"𠡞","bok8",,"b","ok",8,"bok8","門","公"
3034,"䜼","bok8",,"b","ok",8,"bok8","門","公"
3035,"偔","gok8",,"g","ok",8,"gok8","語","公"
3036,"愕","gok8",,"g","ok",8,"gok8","語","公"
3037,"咢","gok8",,"g","ok",8,"gok8","語","公"
3038,"萼","gok8",,"g","ok",8,"gok8","語","公"
3039,"蕚","gok8",,"g","ok",8,"gok8","語","公"
3040,"諤","gok8",,"g","ok",8,"gok8","語","公"
3041,"崿","gok8",,"g","ok",8,"gok8","語","公"
3042,"㟧","gok8",,"g","ok",8,"gok8","語","公"
3043,"𡼑","gok8",,"g","ok",8,"gok8","語","公"
3044,"𥔲","gok8",,"g","ok",8,"gok8","語","公"
3045,"鄂","gok8",,"g","ok",8,"gok8","語","公"
3046,"鶚","gok8",,"g","ok",8,"gok8","語","公"
3047,"㓵","gok8",,"g","ok",8,"gok8","語","公"
3048,"鵠","gok8",,"g","ok",8,"gok8","語","公"
3049,"噩","gok8",,"g","ok",8,"gok8","語","公"
3050,"𡾙","gok8",,"g","ok",8,"gok8","語","公"
3051,"鰐","gok8",,"g","ok",8,"gok8","語","公"
3052,"鑿","chhok8",,"chh","ok",8,"tshok8","出","公"
3053,"伏","hok8",,"h","ok",8,"hok8","喜","公"
3054,"茯","hok8",,"h","ok",8,"hok8","喜","公"
3055,"袱","hok8",,"h","ok",8,"hok8","喜","公"
3056,"㠅","hok8",,"h","ok",8,"hok8","喜","公"
3057,"澓","hok8",,"h","ok",8,"hok8","喜","公"
3058,"復","hok8",,"h","ok",8,"hok8","喜","公"
3059,"緮","hok8",,"h","ok",8,"hok8","喜","公"
3060,"鶴","hok8",,"h","ok",8,"hok8","喜","公"
3061,"寉","hok8",,"h","ok",8,"hok8","喜","公"
3062,"虙","hok8",,"h","ok",8,"hok8","喜","公"
3063,"服","hok8",,"h","ok",8,"hok8","喜","公"
3064,"乖","koai1",,"k","oai",1,"kuai1","求","乖"
3065,"𠂯","koai1",,"k","oai",1,"kuai1","求","乖"
3066,"䲅","koai1",,"k","oai",1,"kuai1","求","乖"
3067,"㔞","khoai1",,"kh","oai",1,"khuai1","去","乖"
3068,"𢶀","choai1",,"ch","oai",1,"tsuai1","曾","乖"
3069,"歪","qoai1",,"q","oai",1,"uai1","英","乖"
3070,"竵","hoai1",,"h","oai",1,"huai1","喜","乖"
3071,"拐","koai2",,"k","oai",2,"kuai2","求","乖"
3072,"柺","koai2",,"k","oai",2,"kuai2","求","乖"
3073,"夬","koai2",,"k","oai",2,"kuai2","求","乖"
3074,"蒯","koai2",,"k","oai",2,"kuai2","求","乖"
3075,"扒","poai3",,"p","oai",3,"puai3","邊","乖"
3076,"怪","koai3",,"k","oai",3,"kuai3","求","乖"
3077,"恠","koai3",,"k","oai",3,"kuai3","求","乖"
3078,"圣","koai3",,"k","oai",3,"kuai3","求","乖"
3079,"快","khoai3",,"kh","oai",3,"khuai3","去","乖"
3080,"駃","khoai3",,"kh","oai",3,"khuai3","去","乖"
3081,"噲","khoai3",,"kh","oai",3,"khuai3","去","乖"
3082,"塊","khoai3",,"kh","oai",3,"khuai3","去","乖"
3083,"䵳","qoai3",,"q","oai",3,"uai3","英","乖"
3084,"䶐","qoai3",,"q","oai",3,"uai3","英","乖"
3085,"𣸎","hoai3",,"h","oai",3,"huai3","喜","乖"
3086,"𣟉","hoai3",,"h","oai",3,"huai3","喜","乖"
3087,"詭","goai5",,"g","oai",5,"guai5","語","乖"
3088,"褱","hoai5",,"h","oai",5,"huai5","喜","乖"
3089,"懷","hoai5",,"h","oai",5,"huai5","喜","乖"
3090,"懐","hoai5",,"h","oai",5,"huai5","喜","乖"
3091,"淮","hoai5",,"h","oai",5,"huai5","喜","乖"
3092,"槐","hoai5",,"h","oai",5,"huai5","喜","乖"
3093,"顡","goai7",,"g","oai",7,"guai7","語","乖"
3094,"壞","hoai7",,"h","oai",7,"huai7","喜","乖"
3095,"冰","peng1",,"p","eng",1,"peng1","邊","經"
3096,"氷","peng1",,"p","eng",1,"peng1","邊","經"
3097,"仌","peng1",,"p","eng",1,"peng1","邊","經"
3098,"伻","peng1",,"p","eng",1,"peng1","邊","經"
3099,"兵","peng1",,"p","eng",1,"peng1","邊","經"
3100,"𠉔","peng1",,"p","eng",1,"peng1","邊","經"
3101,"𠈯","peng1",,"p","eng",1,"peng1","邊","經"
3102,"崩","peng1",,"p","eng",1,"peng1","邊","經"
3103,"帡","peng1",,"p","eng",1,"peng1","邊","經"
3104,"絣","peng1",,"p","eng",1,"peng1","邊","經"
3105,"栟","peng1",,"p","eng",1,"peng1","邊","經"
3106,"傍","peng1",,"p","eng",1,"peng1","邊","經"
3107,"祊","peng1",,"p","eng",1,"peng1","邊","經"
3108,"經","keng1",,"k","eng",1,"keng1","求","經"
3109,"京","keng1",,"k","eng",1,"keng1","求","經"
3110,"庚","keng1",,"k","eng",1,"keng1","求","經"
3111,"𢈴","keng1",,"k","eng",1,"keng1","求","經"
3112,"賡","keng1",,"k","eng",1,"keng1","求","經"
3113,"鶊","keng1",,"k","eng",1,"keng1","求","經"
3114,"矜","keng1",,"k","eng",1,"keng1","求","經"
3115,"扃","keng1",,"k","eng",1,"keng1","求","經"
3116,"坰","keng1",,"k","eng",1,"keng1","求","經"
3117,"駉","keng1",,"k","eng",1,"keng1","求","經"
3118,"稉","keng1",,"k","eng",1,"keng1","求","經"
3119,"更","keng1",,"k","eng",1,"keng1","求","經"
3120,"㪅","keng1",,"k","eng",1,"keng1","求","經"
3121,"耕","keng1",,"k","eng",1,"keng1","求","經"
3122,"畊","keng1",,"k","eng",1,"keng1","求","經"
3123,"涇","keng1",,"k","eng",1,"keng1","求","經"
3124,"莖","keng1",,"k","eng",1,"keng1","求","經"
3125,"硜","keng1",,"k","eng",1,"keng1","求","經"
3126,"荆","keng1",,"k","eng",1,"keng1","求","經"
3127,"肱","keng1",,"k","eng",1,"keng1","求","經"
3128,"羹","keng1",,"k","eng",1,"keng1","求","經"
3129,"驚","keng1",,"k","eng",1,"keng1","求","經"
3130,"兢","keng1",,"k","eng",1,"keng1","求","經"
3131,"傾","kheng1",,"kh","eng",1,"kheng1","去","經"
3132,"卿","kheng1",,"kh","eng",1,"kheng1","去","經"
3133,"輕","kheng1",,"kh","eng",1,"kheng1","去","經"
3134,"坑","kheng1",,"kh","eng",1,"kheng1","去","經"
3135,"阬","kheng1",,"kh","eng",1,"kheng1","去","經"
3136,"砊","kheng1",,"kh","eng",1,"kheng1","去","經"
3137,"丁","teng1",,"t","eng",1,"teng1","地","經"
3138,"㣔","teng1",,"t","eng",1,"teng1","地","經"
3139,"仃","teng1",,"t","eng",1,"teng1","地","經"
3140,"叮","teng1",,"t","eng",1,"teng1","地","經"
3141,"疔","teng1",,"t","eng",1,"teng1","地","經"
3142,"登","teng1",,"t","eng",1,"teng1","地","經"
3143,"豋","teng1",,"t","eng",1,"teng1","地","經"
3144,"釘","teng1",,"t","eng",1,"teng1","地","經"
3145,"燈","teng1",,"t","eng",1,"teng1","地","經"
3146,"灯","teng1",,"t","eng",1,"teng1","地","經"
3147,"𦉬","teng1",,"t","eng",1,"teng1","地","經"
3148,"簦","teng1",,"t","eng",1,"teng1","地","經"
3149,"烹","pheng1",,"ph","eng",1,"pheng1","頗","經"
3150,"亨","pheng1",,"ph","eng",1,"pheng1","頗","經"
3151,"俜","pheng1",,"ph","eng",1,"pheng1","頗","經"
3152,"𠏬","pheng1",,"ph","eng",1,"pheng1","頗","經"
3153,"娉","pheng1",,"ph","eng",1,"pheng1","頗","經"
3154,"甹","pheng1",,"ph","eng",1,"pheng1","頗","經"
3155,"胓","pheng1",,"ph","eng",1,"pheng1","頗","經"
3156,"砰","pheng1",,"ph","eng",1,"pheng1","頗","經"
3157,"磞","pheng1",,"ph","eng",1,"pheng1","頗","經"
3158,"漰","pheng1",,"ph","eng",1,"pheng1","頗","經"
3159,"汀","theng1",,"th","eng",1,"theng1","他","經"
3160,"廳","theng1",,"th","eng",1,"theng1","他","經"
3161,"牚","theng1",,"th","eng",1,"theng1","他","經"
3162,"橕","theng1",,"th","eng",1,"theng1","他","經"
3163,"撐","theng1",,"th","eng",1,"theng1","他","經"
3164,"𢴤","theng1",,"th","eng",1,"theng1","他","經"
3165,"瞠","theng1",,"th","eng",1,"theng1","他","經"
3166,"聽","theng1",,"th","eng",1,"theng1","他","經"
3167,"鐺","theng1",,"th","eng",1,"theng1","他","經"
3168,"曾","cheng1",,"ch","eng",1,"tseng1","曾","經"
3169,"僧","cheng1",,"ch","eng",1,"tseng1","曾","經"
3170,"增","cheng1",,"ch","eng",1,"tseng1","曾","經"
3171,"憎","cheng1",,"ch","eng",1,"tseng1","曾","經"
3172,"繒","cheng1",,"ch","eng",1,"tseng1","曾","經"
3173,"矰","cheng1",,"ch","eng",1,"tseng1","曾","經"
3174,"罾","cheng1",,"ch","eng",1,"tseng1","曾","經"
3175,"正","cheng1",,"ch","eng",1,"tseng1","曾","經"
3176,"佂","cheng1",,"ch","eng",1,"tseng1","曾","經"
3177,"征","cheng1",,"ch","eng",1,"tseng1","曾","經"
3178,"眐","cheng1",,"ch","eng",1,"tseng1","曾","經"
3179,"𨒌","cheng1",,"ch","eng",1,"tseng1","曾","經"
3180,"鉦","cheng1",,"ch","eng",1,"tseng1","曾","經"
3181,"貞","cheng1",,"ch","eng",1,"tseng1","曾","經"
3182,"偵","cheng1",,"ch","eng",1,"tseng1","曾","經"
3183,"楨","cheng1",,"ch","eng",1,"tseng1","曾","經"
3184,"禎","cheng1",,"ch","eng",1,"tseng1","曾","經"
3185,"爭","cheng1",,"ch","eng",1,"tseng1","曾","經"
3186,"崢","cheng1",,"ch","eng",1,"tseng1","曾","經"
3187,"箏","cheng1",,"ch","eng",1,"tseng1","曾","經"
3188,"睛","cheng1",,"ch","eng",1,"tseng1","曾","經"
3189,"蜻","cheng1",,"ch","eng",1,"tseng1","曾","經"
