"id","han_ji","chu_im","freq","siann","un","tiau","old_chu_im","sni_siann","sni_un"
95,"矄","hun1",,"h","un",1,"hun1","喜","君"
96,"醺","hun1",,"h","un",1,"hun1","喜","君"
97,"獯","hun1",,"h","un",1,"hun1","喜","君"
98,"臐","hun1",,"h","un",1,"hun1","喜","君"
99,"塤","hun1",,"h","un",1,"hun1","喜","君"
100,"壎","hun1",,"h","un",1,"hun1","喜","君"
101,"勳","hun1",,"h","un",1,"hun1","喜","君"
102,"勛","hun1",,"h","un",1,"hun1","喜","君"
103,"葷","hun1",,"h","un",1,"hun1","喜","君"
104,"煇","hun1",,"h","un",1,"hun1","喜","君"
105,"焄","hun1",,"h","un",1,"hun1","喜","君"
106,"芬","hun1",,"h","un",1,"hun1","喜","君"
107,"氛","hun1",,"h","un",1,"hun1","喜","君"
108,"棼","hun1",,"h","un",1,"hun1","喜","君"
109,"雰","hun1",,"h","un",1,"hun1","喜","君"
110,"紛","hun1",,"h","un",1,"hun1","喜","君"
111,"梤","hun1",,"h","un",1,"hun1","喜","君"
112,"殙","hun1",,"h","un",1,"hun1","喜","君"
113,"㱪","hun1",,"h","un",1,"hun1","喜","君"
114,"馚","hun1",,"h","un",1,"hun1","喜","君"
115,"緍","hun1",,"h","un",1,"hun1","喜","君"
116,"痻","hun1",,"h","un",1,"hun1","喜","君"
117,"烟","hun1",,"h","un",1,"hun1","喜","君"
118,"纁","hun1",,"h","un",1,"hun1","喜","君"
119,"𠉣","hun1",,"h","un",1,"hun1","喜","君"
120,"汾","hun1",,"h","un",1,"hun1","喜","君"
121,"㤻","lun2",,"l","un",2,"lun2","柳","君"
122,"稐","lun2",,"l","un",2,"lun2","柳","君"
123,"耣","lun2",,"l","un",2,"lun2","柳","君"
124,"忍","lun2",,"l","un",2,"lun2","柳","君"
125,"碖","lun2",,"l","un",2,"lun2","柳","君"
126,"輑","lun2",,"l","un",2,"lun2","柳","君"
127,"本","pun2",,"p","un",2,"pun2","邊","君"
128,"𤲙","pun2",,"p","un",2,"pun2","邊","君"
129,"畚","pun2",,"p","un",2,"pun2","邊","君"
130,"滾","kun2",,"k","un",2,"kun2","求","君"
131,"袞","kun2",,"k","un",2,"kun2","求","君"
132,"㨰","kun2",,"k","un",2,"kun2","求","君"
133,"䜇","kun2",,"k","un",2,"kun2","求","君"
134,"緄","kun2",,"k","un",2,"kun2","求","君"
135,"呁","kun2",,"k","un",2,"kun2","求","君"
136,"鯀","kun2",,"k","un",2,"kun2","求","君"
137,"𦓼","kun2",,"k","un",2,"kun2","求","君"
138,"侰","kun2",,"k","un",2,"kun2","求","君"
139,"僒","kun2",,"k","un",2,"kun2","求","君"
140,"𨎊","kun2",,"k","un",2,"kun2","求","君"
141,"捆","khun2",,"kh","un",2,"khun2","去","君"
142,"丨","khun2",,"kh","un",2,"khun2","去","君"
143,"窘","khun2",,"kh","un",2,"khun2","去","君"
144,"捃","khun2",,"kh","un",2,"khun2","去","君"
145,"悃","khun2",,"kh","un",2,"khun2","去","君"
146,"懇","khun2",,"kh","un",2,"khun2","去","君"
147,"𢡆","khun2",,"kh","un",2,"khun2","去","君"
148,"豤","khun2",,"kh","un",2,"khun2","去","君"
149,"綑","khun2",,"kh","un",2,"khun2","去","君"
150,"稇","khun2",,"kh","un",2,"khun2","去","君"
151,"裍","khun2",,"kh","un",2,"khun2","去","君"
152,"墾","khun2",,"kh","un",2,"khun2","去","君"
153,"梱","khun2",,"kh","un",2,"khun2","去","君"
154,"閫","khun2",,"kh","un",2,"khun2","去","君"
155,"壼","khun2",,"kh","un",2,"khun2","去","君"
156,"𦓾","khun2",,"kh","un",2,"khun2","去","君"
157,"僒","khun2",,"kh","un",2,"khun2","去","君"
158,"盾","tun2",,"t","un",2,"tun2","地","君"
159,"伅","tun2",,"t","un",2,"tun2","地","君"
160,"楯","tun2",,"t","un",2,"tun2","地","君"
161,"䃦","tun2",,"t","un",2,"tun2","地","君"
162,"𦯁","tun2",,"t","un",2,"tun2","地","君"
163,"撪","phun2",,"ph","un",2,"phun2","頗","君"
164,"翸","phun2",,"ph","un",2,"phun2","頗","君"
165,"栩","phun2",,"ph","un",2,"phun2","頗","君"
166,"呠","phun2",,"ph","un",2,"phun2","頗","君"
167,"𠱥","phun2",,"ph","un",2,"phun2","頗","君"
168,"氽","thun2",,"th","un",2,"thun2","他","君"
169,"𢚺","thun2",,"th","un",2,"thun2","他","君"
