han_ji,chu_im,freq,siann,un, tiau ,old_chu_im,sni_siann,sni_un
緄,kun2,,k,un,2,kun2,求,君
呁,kun2,,k,un,2,kun2,求,君
鯀,kun2,,k,un,2,kun2,求,君
𦓼,kun2,,k,un,2,kun2,求,君
侰,kun2,0.01,k,un,2,kun2,求,君
僒,kun2,,k,un,2,kun2,求,君
𨎊,kun2,,k,un,2,kun2,求,君
捆,khun2,,kh,un,2,khun2,去,君
丨,khun2,,kh,un,2,khun2,去,君
窘,khun2,,kh,un,2,khun2,去,君
捃,khun2,,kh,un,2,khun2,去,君
悃,khun2,,kh,un,2,khun2,去,君
懇,khun2,,kh,un,2,khun2,去,君
𢡆,khun2,0.01,kh,un,2,khun2,去,君
豤,khun2,,kh,un,2,khun2,去,君
綑,khun2,,kh,un,2,khun2,去,君
稇,khun2,,kh,un,2,khun2,去,君
裍,khun2,,kh,un,2,khun2,去,君
墾,khun2,,kh,un,2,khun2,去,君
梱,khun2,,kh,un,2,khun2,去,君
閫,khun2,0.01,kh,un,2,khun2,去,君
壼,khun2,,kh,un,2,khun2,去,君
𦓾,khun2,,kh,un,2,khun2,去,君
僒,khun2,,kh,un,2,khun2,去,君
盾,tun2,,t,un,2,tun2,地,君
伅,tun2,,t,un,2,tun2,地,君
楯,tun2,0.01,t,un,2,tun2,地,君
䃦,tun2,,t,un,2,tun2,地,君
𦯁,tun2,,t,un,2,tun2,地,君
撪,phun2,,ph,un,2,phun2,頗,君
翸,phun2,,ph,un,2,phun2,頗,君
栩,phun2,,ph,un,2,phun2,頗,君
呠,phun2,,ph,un,2,phun2,頗,君
𠱥,phun2,,ph,un,2,phun2,頗,君
氽,thun2,,th,un,2,thun2,他,君
𢚺,thun2,,th,un,2,thun2,他,君
黗,thun2,,th,un,2,thun2,他,君
腯,thun2,,th,un,2,thun2,他,君
𦝬,thun2,,th,un,2,thun2,他,君
准,tsun2,,ts,un,2,tsun2,曾,君
凖,tsun2,0.01,ts,un,2,tsun2,曾,君
𠟃,tsun2,,ts,un,2,tsun2,曾,君
撙,tsun2,,ts,un,2,tsun2,曾,君
僔,tsun2,,ts,un,2,tsun2,曾,君
準,tsun2,,ts,un,2,tsun2,曾,君
隼,tsun2,,ts,un,2,tsun2,曾,君
鶽,tsun2,,ts,un,2,tsun2,曾,君
鱒,tsun2,,ts,un,2,tsun2,曾,君
噂,tsun2,,ts,un,2,tsun2,曾,君
繜,tsun2,,ts,un,2,tsun2,曾,君
損,sun2,,s,un,2,sun2,時,君
榫,sun2,,s,un,2,sun2,時,君
筍,sun2,,s,un,2,sun2,時,君
笋,sun2,0.01,s,un,2,sun2,時,君
簨,sun2,,s,un,2,sun2,時,君
允,qun2,,q,un,2,un2,英,君
𠃔,qun2,0.01,q,un,2,un2,英,君
狁,qun2,,q,un,2,un2,英,君
吮,qun2,,q,un,2,un2,英,君
隕,qun2,,q,un,2,un2,英,君
殞,qun2,,q,un,2,un2,英,君
傊,qun2,,q,un,2,un2,英,君
穩,qun2,,q,un,2,un2,英,君
賱,qun2,,q,un,2,un2,英,君
䪳,qun2,,q,un,2,un2,英,君
愪,qun2,,q,un,2,un2,英,君
磒,qun2,,q,un,2,un2,英,君
刎,bun2,,b,un,2,bun2,門,君
吻,bun2,,b,un,2,bun2,門,君
蚊,bun2,,b,un,2,bun2,門,君
蚉,bun2,0.01,b,un,2,bun2,門,君
瞞,bun2,,b,un,2,bun2,門,君
伆,bun2,,b,un,2,bun2,門,君
𦮶,bun2,,b,un,2,bun2,門,君
脗,bun2,,b,un,2,bun2,門,君
抆,bun2,,b,un,2,bun2,門,君
㥃,bun2,,b,un,2,bun2,門,君
